大同大学御东校区-A109-朗读室 id为：3295
大同大学御东校区-A307-医学图书阅览室 id为：3296
大同大学御东校区-A308-自修室 id为：3297
大同大学御东校区-A407-医学过刊阅览室 id为：3298
大同大学御东校区-A507-医学外文过刊阅览室 id为：3299
大同大学御东校区-C101-马列哲学图书阅览室 id为：3300
大同大学御东校区-C102-社科政法图书阅览室 id为：3301
大同大学御东校区-C103-政法军事图书阅览室 id为：3302
大同大学御东校区-C104-文教体育图书阅览室 id为：3303
大同大学御东校区-C201-文学图书阅览室（一） id为：3304
大同大学御东校区-C202-文学图书阅览室（二） id为：3305
大同大学御东校区-C203-文学图书阅览室（三） id为：3306
大同大学御东校区-C301-经济图书阅览室 id为：3307
大同大学御东校区-C302-历史地理图书阅览室（一） id为：3308
大同大学御东校区-C303-历史地理图书阅览室（二） id为：3309
大同大学御东校区-C401-工业技术图书阅览室（一） id为：3310
大同大学御东校区-C402-工业技术图书阅览室（二） id为：3311
大同大学御东校区-C403-数理化图书阅览室 id为：3312
大同大学御东校区-C501-朗读室 id为：3313
大同大学御东校区-C502-朗读室 id为：3314
大同大学御东校区-C503-朗读室 id为：3315
大同大学御东校区-D2层大厅-自修区 id为：3316
大同大学御东校区-D203-自修室 id为：3317
大同大学御东校区-D202-自修室 id为：3318
大同大学御东校区-E301-朗读室 id为：3320
大同大学御东校区-E302-现刊阅览室 id为：3321
大同大学新平旺校区-1层-学生阅览室 id为：3322
大同大学新平旺校区-3层-学生阅览室 id为：3323
大同大学御东校区-D区一层大厅-优谷朗读亭 id为：6348
大同大学新平旺校区-X106-综合阅览室 id为：6435
大同大学新平旺校区 -X207-工业技术图书阅览室Ⅲ id为：6436
大同大学新平旺校区-X203-朗读室 I id为：6437

fidEnc=732e769df0f9b32a




